word,definition
"playwright","編寫劇本的人，特別指戲劇或舞台劇的作家。"
"tragedy","以嚴肅主題和悲慘結局為特色的戲劇類型，常描寫人物的痛苦與衝突。"
"comedy","以幽默、輕鬆和愉快結局為特點的戲劇類型。"
"transcend","超越、跨越（某種範疇、時代或限制）。"
"audience","觀眾、聽眾，指觀看或聆聽某演出或表演的人群。"
"profound","深刻的，強烈的，具有重大意義的。"
"ambition","強烈的願望、抱負，尤其是達到成功或權力。"
"betrayal","背叛、不忠，指對某人的信任或忠誠的違反。"
"intricate","複雜精細的，結構錯綜的。"
"poetic","詩意的、富有詩意的，或與詩相關的。"
"theme","主題、中心思想，作品中反覆出現的主要訊息。"
"sonnet","十四行詩，一種特定格式的詩歌，常見於莎士比亞的作品。"
"emotion","情緒、感情，指人內心的感受。"
"legacy","遺產、傳承，指留給後人的成就或影響。"
"genius","天才、極富創造力或才能的人。"
"influence","影響力，能夠改變或塑造他人或事物的力量。"
"literature","文學，指小說、詩歌、戲劇等具有藝術價值的書寫作品。"
"arts","藝術（總稱），包括繪畫、音樂、戲劇等各種藝術形式。"
